GEOID,LEA,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,CTE Program Support,Total
3703360,Northampton County,"51,483",0,"39,548","49,341","1,111,861","677,347","375,080","3,490,938",7,"539,161",14,"115,940","357,359","590,133","8,290",0,0,"-30,933",0,0,62,"3,835,586",7,"732,886","846,532","1,820,000",107,"737,658","27,287","45,628","15,369,642"
3703420,Onslow County,"1,089,817",0,"836,691","475,455","18,499,798","7,179,973","8,476,814","7,031,071",139,"10,100,852",277,"2,333,840","7,564,746","1,095,620","175,492",0,0,"-360,363",0,0,"1,316","85,832,849",39,"4,561,206","7,358,852",0,"1,140","7,991,400","342,957","457,808","169,955,061"
3703450,Orange County,"291,750",0,"224,225","668,004","4,525,548",0,"1,991,132","1,175,950",37,"2,927,662",74,"632,458","2,025,127","669,295","46,980",0,0,"-187,436",0,0,345,"25,376,424",12,"1,298,220","3,007,361",0,385,"2,752,750","112,336","158,839","47,404,875"
3703480,Chapel Hill-Carrboro,"497,762",0,"382,492","1,333,960","5,802,810",0,"3,212,668","1,797,788",64,"5,069,184",126,"1,056,953","3,455,118","644,465","80,154",0,0,"-262,877",0,0,583,"42,068,591",19,"2,140,179","2,049,373",0,620,"4,462,140","184,056","209,240","73,686,294"
3703510,Pamlico County,"49,125",0,"37,718","48,451","992,405","106,991","318,818","252,429",6,"461,274",13,"112,486","340,989","655,163","7,910",0,0,"-29,922",0,0,58,"4,124,302",4,"427,508","619,900","1,820,000",109,"754,607","28,167","27,491","11,106,687"
3703540,Pasquotank County,"206,811",0,"158,748","175,024","3,666,383","2,335,991","1,577,452","6,570,659",27,"2,093,472",53,"456,118","1,435,540","729,707","33,303",0,0,"-95,608",0,0,250,"17,829,880",12,"1,292,064","1,523,800",0,261,"1,889,901","74,616","101,947","41,848,997"
3703570,Pender County,"388,601",0,"298,597","412,638","5,405,253","3,691,905","2,719,332","2,727,466",50,"3,579,350",99,"825,262","2,697,395","596,940","62,576",0,0,"-209,229",0,0,459,"31,480,350",18,"1,952,280","2,873,781",0,486,"3,391,794","143,156","156,548","62,805,394"
3703600,Perquimans County,"63,155",0,"48,529","12,063","1,314,914","199,781","468,850","366,330",8,"669,248",17,"142,000","438,375","517,763","10,170",0,0,"-5,687",0,0,77,"5,319,756",4,"450,928","619,034","1,548,700",117,"809,055","30,501","24,437","12,984,747"
3703630,Person County,"170,398",0,"130,684","111,524","2,579,780","1,219,790","1,338,751","784,991",22,"1,628,704",43,"371,431","1,182,781","617,164","27,439",0,0,"-140,192",0,0,205,"14,154,855",11,"1,185,162","1,427,753",0,228,"1,621,308","64,297","90,874","28,397,096"
3700012,Pitt County,"938,565",0,"720,808","935,206","12,848,852","8,586,232","6,639,137","7,151,129",120,"9,484,200",238,"1,997,104","6,514,866","1,086,749","151,136",0,0,"-155,243",0,0,"1,113","77,569,086",38,"4,211,730","6,984,688",0,"1,065","7,321,875","320,324","413,325","152,781,204"
3703720,Polk County,"82,860",0,"63,581","77,177","1,318,612",0,"572,579","317,076",11,"869,033",22,"186,369","575,159","501,382","13,343",0,0,"-31,396",0,0,100,"7,326,326",6,"639,276","624,770","1,560,000",142,"1,035,606","38,011","32,073","15,718,977"
3703780,Randolph County,"611,840",0,"469,833","841,207","8,881,102","7,513,862","4,296,029","4,577,586",78,"6,022,614",155,"1,312,116","4,246,968","955,422","98,524",0,0,"-212,930",0,0,724,"50,010,460",31,"3,445,278","4,840,102",0,737,"5,254,073","220,085","285,223","103,057,554"
3703870,Asheboro City,"178,712",0,"137,213","824,212","2,584,330","2,193,972","1,341,660","1,526,887",23,"1,751,174",45,"378,949","1,240,491","484,175","28,778",0,0,"-58,395",0,0,215,"14,824,548",8,"873,968","418,826",0,234,"1,648,764","66,090","75,410","30,341,052"
3703900,Richmond County,"275,962",0,"212,062","302,707","4,436,130","5,194,680","1,873,353","2,736,702",35,"2,603,055",70,"603,366","1,915,533","765,104","44,438",0,0,"-82,147",0,0,327,"21,785,597",15,"1,574,430","1,974,485",0,356,"2,530,804","103,473","114,929","48,688,701"
3703930,Robeson County,"837,838",0,"643,537","1,537,206","15,014,713","20,964,476","6,224,893","29,845,108",107,"8,225,625",213,"1,802,067","5,815,685","1,223,201","134,916",0,0,"-263,029",0,0,"1,003","67,818,887",36,"3,973,248","6,759,705",0,923,"6,722,209","276,650","354,906","177,074,003"
3703990,Rockingham County,"446,799",0,"343,135","518,471","8,357,333","5,882,576","3,251,161","3,801,826",57,"4,344,027",113,"910,759","3,101,366","920,425","71,948",0,0,"-70,032",0,0,533,"37,281,079",22,"2,454,584","3,124,648",0,530,"3,769,890","156,722","205,422","78,425,340"
3704050,Rowan-Salisbury,"735,551",0,"565,226","1,312,111","10,778,658","5,793,024","5,142,612","4,903,893",94,"7,274,848",187,"1,581,620","5,105,684","1,069,112","118,445",0,0,"-171,503",0,0,869,"60,894,095",35,"3,880,380","4,798,798",0,879,"6,217,167","263,320","329,515","119,857,005"
3704080,Rutherford County,"301,743",0,"231,800","162,051","6,055,505","2,828,805","2,169,584","2,693,601",39,"3,119,649",77,"653,256","2,094,490","771,660","48,589",0,0,"-157,975",0,0,360,"25,700,139",18,"1,917,468","2,707,315",0,382,"2,820,306","111,321","151,393","54,078,957"
3704140,Sampson County,"314,534",0,"241,488","1,130,711","3,772,056","6,003,750","2,325,058","2,884,462",40,"3,198,960",80,"660,005","2,183,275","662,509","50,649",0,0,"-77,516",0,0,376,"26,263,269",18,"2,026,170","2,779,296",0,384,"2,674,176","111,998","134,402","57,024,718"
3704200,Clinton City,"117,116",0,"89,920","335,890","909,975","2,234,243","926,526","1,200,579",15,"1,122,390",30,"257,404","812,936","447,842","18,859",0,0,"-26,974",0,0,144,"10,004,441",5,"596,020","370,712",0,165,"1,210,440","44,913","45,055","20,601,171"
3704320,Scotland County,"219,242",0,"168,416","51,679","4,589,871","4,615,917","1,575,716","2,197,978",28,"2,138,948",56,"472,247","1,521,828","701,283","35,304",0,0,"-25,079",0,0,262,"18,831,328",10,"1,053,580","1,810,481",0,277,"1,988,029","79,420","93,929","41,900,875"
3704380,Stanly County,"328,164",0,"252,023","243,987","6,331,173","3,317,263","2,404,484","2,518,133",42,"3,211,278",83,"697,781","2,277,886","789,606","52,844",0,0,"-95,517",0,0,393,"27,860,839",21,"2,264,661","1,892,262",0,401,"2,836,674","117,276","159,412","57,132,065"
3704410,Stokes County,"224,359",0,"172,388","67,188","4,713,922","2,270,819","1,500,321","1,379,126",29,"2,226,243",57,"483,336","1,557,342","684,247","36,128",0,0,"-105,705",0,0,264,"18,561,371",19,"1,977,995","2,088,586",0,308,"2,244,088","88,926","96,602","40,042,923"
3704440,Surry County,"292,510",0,"224,802","690,081","4,456,631","2,952,013","1,892,811","2,419,625",37,"2,924,554",74,"620,143","2,030,398","681,391","47,103",0,0,"-48,746",0,0,343,"24,413,965",20,"2,170,380","2,680,836",0,385,"2,765,840","112,235","123,138","51,157,200"
3704500,Elkin City,"48,685",0,"37,434","98,707","679,981","490,566","335,943","387,880",7,"526,260",13,"104,498","337,937","373,561","7,840",0,0,"-27,488",0,0,61,"4,445,217",4,"436,128","47,681",0,104,"722,072","26,374","21,382","9,051,973"
3704530,Mount Airy City,"65,673",0,"50,504","148,231","1,028,272","661,437","415,369","538,719",9,"629,478",17,"141,296","455,855","435,131","10,575",0,0,"-23,323",0,0,81,"5,576,138",4,"409,004","80,245",0,126,"910,854","32,971","38,373","11,539,129"
3704590,Swain County,"77,424",0,"59,505","48,063","1,364,556","162,434","581,374","618,759",10,"782,470",20,"158,879","537,426","561,562","12,468",0,0,"-21,346",0,0,94,"6,335,264",5,"538,185","702,052","1,600,000",136,"907,664","36,151","52,501","15,037,967"
3704620,Transylvania County,"131,705",0,"101,275","115,621","2,306,787",0,"905,051","560,270",17,"1,278,366",33,"267,352","914,206","612,364","21,208",0,0,"-58,661",0,0,155,"11,287,039",9,"952,902","947,321","1,548,000",205,"1,476,000","57,261","63,001","23,355,363"
3704650,Tyrrell County,"24,822",0,"19,093","68,992","376,746","412,158","168,786","286,290",3,"238,365",7,"52,465","172,298","471,642","3,997",0,0,"-6,249",0,0,31,"2,127,943",3,"289,788","171,342","1,820,000",79,"545,416","18,728","11,455","7,249,255"
3704720,Union County,"1,655,250",0,"1,272,550","2,455,798","18,308,945",0,"10,284,707","6,298,412",211,"16,363,472",420,"3,635,499","11,489,592","1,050,772","266,543",0,0,"-374,644",0,0,"1,918","135,192,483",52,"5,921,136","15,426,801",0,"2,046","14,430,438","619,925","820,541","243,462,970"
3704740,Vance County,"202,854",0,"155,630","365,297","3,335,582","4,041,441","1,687,861","8,900,516",26,"1,978,574",52,"442,127","1,408,072","800,536","32,665",0,0,"-17,594",0,0,249,"16,951,855",16,"1,715,904","1,249,055",0,239,"1,733,228","67,748","125,811","44,974,308"
3704800,Wake County,"6,447,006",0,"4,951,957","13,148,419","84,345,196",0,"45,759,940","22,284,553",819,"65,738,673","1,637","13,830,271","44,750,615","3,066,846","1,038,154",0,0,"-1,879,362",0,0,"7,609","548,461,419",192,"21,565,440","60,537,914",0,"7,235","51,202,095","2,205,816","3,126,761","984,134,707"
3704830,Warren County,"69,030",0,"53,056","54,954","1,433,473","250,090","491,980","3,390,882",9,"696,528",18,"152,242","479,161","553,762","11,116",0,0,"-173,860",0,0,82,"6,277,463",6,"665,208","954,943","1,600,000",127,"900,303","33,613","34,173","17,859,087"
3704880,Washington County,"46,726",0,"35,879","75,223","771,870","597,698","337,572","2,332,056",6,"434,016",12,"103,833","324,342","622,163","7,524",0,0,"-19,310",0,0,57,"3,847,594",3,"324,267","528,932","1,820,000",103,"773,118","26,103","20,046","12,962,926"
3704890,Watauga County,"190,263",0,"146,177","149,988","3,951,240",0,"1,318,074","735,738",24,"1,867,728",48,"397,873","1,320,675","574,741","30,638",0,0,"-81,292",0,0,224,"16,903,251",10,"1,047,050","1,419,185",0,267,"1,761,666","76,442","80,183","31,699,357"
3704920,Wayne County,"716,805",0,"550,343","1,829,899","11,169,145","11,115,216","5,381,360","6,356,902",91,"6,890,702",182,"1,570,004","4,975,558","1,062,165","115,426",0,0,"-366,121",0,0,860,"60,662,753",30,"3,360,120","5,055,284",0,806,"5,753,228","241,162","329,515","126,052,661"
3704950,Wilkes County,"352,467",0,"270,777","449,281","5,449,036","3,538,028","2,502,289","2,416,547",45,"3,505,500",89,"750,977","2,446,577","804,774","56,757",0,0,"-89,458",0,0,418,"28,919,855",21,"2,273,145","2,893,871",0,445,"3,226,695","130,706","147,193","59,692,550"
3705020,Wilson County,"426,853",0,"328,085","658,900","4,622,675","4,887,529","2,952,961","3,647,908",54,"4,154,328",108,"916,061","2,962,917","825,760","68,736",0,0,"-115,295",0,0,503,"34,213,224",26,"2,798,094","2,352,008",0,532,"3,869,236","157,195","231,004","69,531,326"
3705040,Yadkin County,"201,295",0,"154,580","357,331","3,340,176","2,203,424","1,399,705","1,499,183",26,"2,044,926",51,"433,077","1,397,252","612,588","32,414",0,0,"-57,604",0,0,239,"17,261,909",13,"1,396,382","1,475,102",0,276,"2,017,008","78,912","77,510","35,723,875"
3705070,Yancey County,"82,780",0,"63,590","131,428","1,479,418","27,953","610,040","387,880",11,"877,998",22,"183,695","574,604","522,911","13,330",0,0,"-10,915",0,0,99,"7,161,706",7,"738,850","939,806","1,560,000",142,"1,048,386","38,079","33,219","16,381,978"
,Charters,"5,674,961",0,"4,348,035","5,020,371","61,583,777","19,535,770","45,271,493","42,230,809",0,"56,071,284",0,"12,200,208","39,391,617","1,950,000","913,833",0,0,0,0,0,0,"471,346,547",0,"27,279,142","45,442,101","4,157,306",0,"28,419,773","1,686,262",0,"866,848,328"
