GEOID,LEA,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,CTE Program Support
3700600,Camden County,"147,396",0,"128,173","9,631","1,625,585","1,079,253","751,433","1,569,803",24,"1,930,584",23,"191,359","601,621","778,849","182,700", - , - , - , 2 ," 160,882 ", 88 ," 6,433,526 ", 5 ," 562,250 "," 610,132 "," 1,600,000 ", 137 ," 971,330 "," 36,591 "," 36,464 "
3700630,Carteret County,"648,234",0,"563,364","590,951","6,813,007",0,"3,065,903","5,085,273",92,"7,359,448",100,"878,036","2,645,882","1,147,169","803,500", 10 ," 799,940 ", - , 8 ," 639,952 ", 377 ," 27,784,885 ", 16 ," 1,788,672 "," 1,681,691 ", - , 421 ," 2,970,576 "," 123,433 "," 144,139 "
3700660,Caswell County,"187,492",0,"162,849","79,115","2,954,952","1,481,101","975,324","2,819,006",29,"2,321,131",30,"251,421","765,281","989,425","232,400", 2 ," 160,078 ", - , 3 ," 240,117 ", 112 ," 7,645,880 ", 6 ," 605,886 "," 1,179,510 "," 1,470,000 ", 150 ," 1,051,950 "," 40,650 "," 34,555 "
3700690,Catawba County,"1,258,712",0,"1,093,778","3,605,559","13,565,322",0,"6,365,493","8,810,785",177,"13,652,187",195,"1,615,980","5,137,654","1,534,355","1,560,200", 6 ," 462,786 ", - , 14 ," 1,079,834 ", 739 ," 52,486,857 ", 28 ," 3,164,756 "," 4,640,132 ", - , 743 ," 5,370,404 "," 221,878 "," 275,296 "
3700720,Hickory City,"323,754",0,"281,354","1,433,005","3,800,256",0,"1,667,986","2,807,950",49,"3,706,164",50,"421,992","1,321,459","803,422","401,300", 3 ," 226,908 ", - , 4 ," 302,544 ", 191 ," 13,310,957 ", 9 ," 969,390 "," 493,711 ", - , 224 ," 1,579,648 "," 63,283 "," 79,038 "
3702970,Newton-Conover,"232,348",0,"201,873","1,039,496","2,788,781",0,"1,147,440","2,210,988",35,"2,553,950",36,"298,491","948,368","734,649","288,000", 3 ," 218,910 ", - , 3 ," 218,910 ", 139 ," 9,370,888 ", 6 ," 644,142 "," 361,940 ", - , 181 ," 1,355,147 "," 49,920 "," 55,555 "
3700750,Chatham County,"736,736",0,"640,286","2,985,026","7,773,908",0,"3,613,036","5,217,926",104,"7,901,504",114,"982,252","3,007,118","1,095,136","913,200", 5 ," 379,880 ", - , 9 ," 683,784 ", 431 ," 30,761,406 ", 20 ," 2,149,180 "," 2,665,363 ", - , 461 ," 3,227,461 "," 135,612 "," 184,994 "
3700780,Cherokee County,"248,483",0,"216,037","127,959","3,735,233","1,027,625","1,116,655","2,089,391",43,"3,396,742",39,"333,331","1,014,227","921,303","308,000", 2 ," 157,988 ", - , 3 ," 236,982 ", 144 ," 10,735,007 ", 13 ," 1,358,253 "," 856,023 "," 1,548,000 ", 196 ," 1,380,036 "," 54,757 "," 59,756 "
3700870,Edenton/Chowan,"146,912",0,"127,659","171,300","1,784,531","851,380","759,829","2,188,877",23,"1,772,150",23,"194,175","599,645","988,418","182,100", 3 ," 231,150 ", - , 2 ," 154,100 ", 88 ," 6,247,961 ", 4 ," 442,048 "," 783,450 "," 1,600,000 ", 130 ," 883,480 "," 34,324 "," 30,737 "
3700900,Clay County,"103,104",0,"89,537","155,477","1,502,763",0,"528,942","829,117",16,"1,291,648",16,"138,732","420,838","795,731","127,800", 1 ," 80,728 ", - , 2 ," 161,456 ", 62 ," 4,461,347 ", 4 ," 431,664 "," 380,371 "," 1,820,000 ", 105 ," 783,930 "," 26,814 "," 19,664 "
