GEOID,LEA,Textbooks,At-Risk,Classroom Supplies & Materials,Limited English Proficiency,Children with Disabilities,Low Wealth,Teacher Assistants,Disadvantaged Student Supplemental Funding,Instructional Support (Positions),Instructional Support (Dollars),Assistant Principals (Months),Assistant Principals (Dollars),Non-Instructional Support,Central Office,Professional Development & Mentoring,Community School Coordinator (Position),Community School Coordinator (Dollars),NC Virtual Public School,Career Development Coordinators (Position),Career Development Coordinators (Dollar),Classroom Teachers (Position),"Classroom Teachers 
(Dollar)",Principals (Position),"Principals 
(Dollar)",Transportation,Small County,CTE Teachers (Months of Employment),CTE Teachers (Dollar),CTE Program Support,CTE Program Support
3703090,Mitchell County,"143,443",0,"124,621","319,210","2,138,547","372,747","677,269","1,149,717",26,"2,155,504",23,"205,550","585,486","849,748","177,800", 1 ," 82,904 ", - , 2 ," 165,808 ", 84 ," 6,171,359 ", 7 ," 800,933 "," 848,853 "," 1,600,000 ", 135 ," 987,390 "," 36,083 "," 30,546 "
3703120,Montgomery County,"295,114",0,"256,359","976,892","3,236,720","1,511,263","1,543,447","17,819,468",51,"3,763,494",46,"384,325","1,204,559","960,305","365,800", 9 ," 664,146 ", - , 4 ," 295,176 ", 175 ," 12,252,575 ", 12 ," 1,279,044 "," 1,388,569 ", - , 206 ," 1,458,892 "," 57,531 "," 56,128 "
3703210,Moore County,"1,027,574",0,"892,841","1,158,512","11,311,589",0,"4,910,203","8,125,377",147,"11,472,027",159,"1,362,122","4,194,225","1,371,333","1,273,700", 7 ," 546,287 ", - , 12 ," 936,492 ", 597 ," 42,174,730 ", 24 ," 2,609,520 "," 3,792,184 ", - , 641 ," 4,388,927 "," 190,518 "," 237,304 "
3703270,Nash-Rocky Mount,"1,169,565",0,"1,015,935","2,112,014","15,861,982","8,873,359","5,886,926","19,357,194",167,"12,852,654",181,"1,512,144","4,773,783","1,686,525","1,449,700", 9 ," 692,658 ", - , 13 ," 1,000,506 ", 688 ," 46,919,018 ", 27 ," 2,882,034 "," 4,317,171 ", - , 685 ," 4,745,680 "," 204,185 "," 262,695 "
3703330,New Hanover County,"2,149,298",0,"1,867,983","4,082,998","22,530,168",0,"10,693,580","16,825,621",289,"23,248,605",333,"2,815,937","8,772,736","1,812,957","2,664,100", 17 ," 1,367,565 ", - , 24 ," 1,930,680 "," 1,257 "," 91,126,766 ", 42 ," 4,710,972 "," 7,082,750 ", - ," 1,269 "," 9,092,385 "," 382,673 "," 537,227 "
3703360,Northampton County,"103,911",0,"90,279","68,107","1,748,407","1,065,911","512,150","12,536,408",20,"1,540,460",17,"140,784","424,131","968,205","128,800", 6 ," 462,138 ", - , 2 ," 154,046 ", 62 ," 3,835,586 ", 7 ," 732,886 "," 846,532 "," 1,820,000 ", 107 ," 737,658 "," 27,287 "," 45,628 "
3703420,Onslow County,"2,199,640",0,"1,910,591","1,437,133","29,091,033","12,234,313","12,136,276","25,249,487",287,"20,855,716",341,"2,873,067","8,978,216","1,797,535","2,726,500", 9 ," 654,012 ", - , 22 ," 1,598,696 "," 1,316 "," 85,832,849 ", 39 ," 4,561,206 "," 7,358,852 ", - ," 1,140 "," 7,991,400 "," 342,957 "," 457,808 "
3703450,Orange County,"588,857",0,"511,714","2,019,140","7,116,449",0,"2,892,388","4,222,989",81,"6,409,206",91,"777,752","2,403,521","1,098,082","729,900", 4 ," 316,504 ", - , 7 ," 553,882 ", 345 ," 25,376,424 ", 12 ," 1,298,220 "," 3,007,361 ", - , 385 ," 2,752,750 "," 112,336 "," 158,839 "
3703480,Chapel Hill-Carrboro,"1,004,662",0,"872,984","4,032,089","9,124,950",0,"4,645,732","6,456,088",135,"10,692,810",156,"1,308,609","4,100,705","1,057,345","1,245,300", 1 ," 79,206 ", - , 12 ," 950,472 ", 583 ," 42,068,591 ", 19 ," 2,140,179 "," 2,049,373 ", - , 620 ," 4,462,140 "," 184,056 "," 209,240 "
3703510,Pamlico County,"99,151",0,"86,125","62,604","1,560,561","284,579","435,188","906,507",17,"1,306,943",16,"138,445","404,703","1,074,897","122,900", - , - , - , 2 ," 153,758 ", 58 ," 4,124,302 ", 4 ," 427,508 "," 619,900 "," 1,820,000 ", 109 ," 754,607 "," 28,167 "," 27,491 "
3703540,Pasquotank County,"417,419",0,"362,539","529,035","5,765,408","3,272,512","2,300,477","23,596,087",64,"4,962,304",65,"559,390","1,703,770","1,197,198","517,400", 3 ," 232,608 ", - , 5 ," 387,680 ", 250 ," 17,829,880 ", 12 ," 1,292,064 "," 1,523,800 ", - , 261 ," 1,889,901 "," 74,616 "," 101,947 "
3703570,Pender County,"784,335",0,"681,522","1,247,258","8,499,790","4,593,118","3,848,121","9,794,682",112,"8,017,744",122,"1,016,989","3,201,402","979,373","972,200", 10 ," 715,870 ", - , 9 ," 644,283 ", 459 ," 31,480,350 ", 18 ," 1,952,280 "," 2,873,781 ", - , 486 ," 3,391,794 "," 143,156 "," 156,548 "
3703600,Perquimans County,"127,469",0,"110,761","36,461","2,067,710","391,030","668,873","1,315,537",20,"1,673,120",20,"167,059","520,285","849,471","158,000", 1 ," 83,656 ", - , 2 ," 167,312 ", 77 ," 5,319,756 ", 4 ," 450,928 "," 619,034 "," 1,548,700 ", 117 ," 809,055 "," 30,501 "," 24,437 "
3703630,Person County,"343,923",0,"298,593","337,097","4,056,718","1,787,183","1,893,276","2,819,006",53,"3,923,696",53,"457,810","1,403,783","1,012,553","426,300", 3 ," 222,096 ", - , 4 ," 296,128 ", 205 ," 14,154,855 ", 11 ," 1,185,162 "," 1,427,753 ", - , 228 ," 1,621,308 "," 64,297 "," 90,874 "
3700012,Pitt County,"1,894,361",0,"1,645,665","2,826,797","20,204,888","13,362,582","9,515,355","25,680,629",260,"20,549,100",294,"2,467,011","7,732,166","1,782,980","2,348,100", 17 ," 1,343,595 ", - , 21 ," 1,659,735 "," 1,113 "," 77,569,086 ", 38 ," 4,211,730 "," 6,984,688 ", - ," 1,065 "," 7,321,875 "," 320,324 "," 413,325 "
3703720,Polk County,"167,242",0,"145,231","194,691","2,073,524",0,"856,382","1,138,661",26,"2,054,078",26,"220,254","682,628","822,595","207,300", - , - , - , 2 ," 158,006 ", 100 ," 7,326,326 ", 6 ," 639,276 "," 624,770 "," 1,560,000 ", 142 ," 1,035,606 "," 38,011 "," 32,073 "
3703780,Randolph County,"1,234,913",0,"1,072,738","2,542,672","13,965,580","9,680,945","6,193,377","16,438,702",183,"14,129,979",191,"1,616,865","5,040,512","1,567,518","1,530,700", 12 ," 926,556 ", - , 14 ," 1,080,982 ", 724 ," 50,010,460 ", 31 ," 3,445,278 "," 4,840,102 ", - , 737 ," 5,254,073 "," 220,085 "," 285,223 "
3703870,Asheboro City,"360,704",0,"313,314","2,261,988","4,063,873","2,811,801","1,980,033","5,483,247",51,"3,883,038",56,"471,581","1,472,276","794,364","447,100", 8 ," 609,104 ", - , 4 ," 304,552 ", 215 ," 14,824,548 ", 8 ," 873,968 "," 418,826 ", - , 234 ," 1,648,764 "," 66,090 "," 75,410 "
3703900,Richmond County,"556,989",0,"483,993","914,977","6,975,838","6,423,054","2,735,665","9,827,849",83,"6,172,959",86,"741,279","2,273,450","1,255,272","690,400", 15 ," 1,115,595 ", - , 7 ," 520,611 ", 327 ," 21,785,597 ", 15 ," 1,574,430 "," 1,974,485 ", - , 356 ," 2,530,804 "," 103,473 "," 114,929 "
3703930,Robeson County,"1,691,057",0,"1,469,138","4,646,431","23,610,717","25,151,229","8,906,652","107,177,643",236,"18,142,500",262,"2,216,627","6,902,343","2,006,851","2,096,100", 34 ," 2,613,750 ", - , 18 ," 1,383,750 "," 1,003 "," 67,818,887 ", 36 ," 3,973,248 "," 6,759,705 ", - , 923 ," 6,722,209 "," 276,650 "," 354,906 "
3703990,Rockingham County,"901,800",0,"783,408","1,567,156","13,141,951","8,350,833","4,675,118","13,652,847",131,"9,983,641",140,"1,128,374","3,680,855","1,510,100","1,117,800", 7 ," 533,477 ", - , 10 ," 762,110 ", 533 ," 37,281,079 ", 22 ," 2,454,584 "," 3,124,648 ", - , 530 ," 3,769,890 "," 156,722 "," 205,422 "
3704050,Rowan-Salisbury,"1,484,606",0,"1,290,034","3,966,046","16,949,497","9,891,296","7,391,192","17,610,515",212,"16,407,104",230,"1,945,309","6,059,678","1,754,044","1,840,200", 7 ," 541,744 ", - , 17 ," 1,315,664 ", 869 ," 60,894,095 ", 35 ," 3,880,380 "," 4,798,798 ", - , 879 ," 6,217,167 "," 263,320 "," 329,515 "
3704080,Rutherford County,"609,026",0,"529,136","489,822","9,522,315","4,099,446","3,180,647","9,673,069",94,"7,519,154",94,"797,481","2,485,845","1,266,028","754,900", 3 ," 239,973 ", - , 7 ," 559,937 ", 360 ," 25,700,139 ", 18 ," 1,917,468 "," 2,707,315 ", - , 382 ," 2,820,306 "," 111,321 "," 151,393 "
3704140,Sampson County,"634,842",0,"551,428","3,344,137","5,931,579","7,181,933","3,342,968","10,358,477",98,"7,837,452",98,"808,506","2,591,219","1,086,949","786,900", 12 ," 959,688 ", - , 7 ," 559,818 ", 376 ," 26,263,269 ", 18 ," 2,026,170 "," 2,779,296 ", - , 384 ," 2,674,176 "," 111,998 "," 134,402 "
3704200,Clinton City,"236,382",0,"205,325","960,382","1,430,941","2,647,676","1,344,744","4,311,435",33,"2,469,258",37,"317,465","964,833","734,754","293,000", 4 ," 299,304 ", - , 3 ," 224,478 ", 144 ," 10,004,441 ", 5 ," 596,020 "," 370,712 ", - , 165 ," 1,210,440 "," 44,913 "," 45,055 "
3704320,Scotland County,"442,510",0,"384,457","87,370","7,217,597","5,718,413","2,248,702","7,893,223",62,"4,736,242",69,"581,876","1,806,181","1,150,564","548,500", 9 ," 687,519 ", - , 5 ," 381,955 ", 262 ," 18,831,328 ", 10 ," 1,053,580 "," 1,810,481 ", - , 277 ," 1,988,029 "," 79,420 "," 93,929 "
3704380,Stanly County,"662,353",0,"575,394","737,485","9,955,804","4,047,475","3,474,504","9,042,940",105,"8,028,195",103,"865,921","2,703,508","1,295,471","821,000", 3 ," 229,377 ", - , 7 ," 535,213 ", 393 ," 27,860,839 ", 21 ," 2,264,661 "," 1,892,262 ", - , 401 ," 2,836,674 "," 117,276 "," 159,412 "
3704410,Stokes County,"452,836",0,"393,470","171,300","7,412,667","3,572,775","2,156,347","4,952,620",74,"5,680,758",70,"593,570","1,848,330","1,122,613","561,300", 7 ," 537,369 ", - , 6 ," 460,602 ", 264 ," 18,561,371 ", 19 ," 1,977,995 "," 2,088,586 ", - , 308 ," 2,244,088 "," 88,926 "," 96,602 "
3704440,Surry County,"590,389",0,"513,040","2,085,872","7,008,077","3,673,294","2,756,654","8,689,188",94,"7,429,948",91,"762,609","2,409,778","1,117,928","731,800", 11 ," 869,462 ", - , 7 ," 553,294 ", 343 ," 24,413,965 ", 20 ," 2,170,380 "," 2,680,836 ", - , 385 ," 2,765,840 "," 112,235 "," 123,138 "
3704500,Elkin City,"98,264",0,"85,408","236,656","1,069,274","595,002","510,751","1,392,927",16,"1,202,880",16,"128,613","401,081","612,885","121,800", - , - , - , 2 ," 150,360 ", 61 ," 4,445,217 ", 4 ," 436,128 "," 47,681 ", - , 104 ," 722,072 "," 26,374 "," 21,382 "
3704530,Mount Airy City,"132,551",0,"115,218","389,381","1,616,963","796,136","642,286","1,934,611",21,"1,468,782",21,"174,542","541,031","713,900","164,300", 2 ," 139,884 ", - , 2 ," 139,884 ", 81 ," 5,576,138 ", 4 ," 409,004 "," 80,245 ", - , 126 ," 910,854 "," 32,971 "," 38,373 "
3704590,Swain County,"156,270",0,"135,798","62,604","2,145,772","227,811","820,000","2,222,044",25,"1,956,175",25,"198,598","637,844","921,330","193,700", 1 ," 78,247 ", - , 2 ," 156,494 ", 94 ," 6,335,264 ", 5 ," 538,185 "," 702,052 "," 1,600,000 ", 136 ," 907,664 "," 36,151 "," 52,501 "
3704620,Transylvania County,"265,829",0,"231,057","349,480","3,627,436",0,"1,263,583","2,012,001",41,"3,083,118",41,"332,165","1,085,026","1,004,678","329,500", 4 ," 300,792 ", - , 4 ," 300,792 ", 155 ," 11,287,039 ", 9 ," 952,902 "," 947,321 "," 1,548,000 ", 205 ," 1,476,000 "," 57,261 "," 63,001 "
3704650,Tyrrell County,"50,100",0,"43,553","122,456","592,435","549,325","239,283","1,028,104",9,"715,095",8,"59,960","204,492","773,802","62,100", - , - , - , 1 ," 79,455 ", 31 ," 2,127,943 ", 3 ," 289,788 "," 171,342 "," 1,820,000 ", 79 ," 545,416 "," 18,728 "," 11,455 "
3704720,Union County,"3,340,888",0,"2,903,625","7,423,007","28,790,914",0,"14,766,991","22,618,413",430,"33,347,360",518,"4,483,782","13,636,417","1,723,955","4,141,100", 7 ," 542,864 ", - , 40 ," 3,102,080 "," 1,918 "," 135,192,483 ", 52 ," 5,921,136 "," 15,426,801 ", - ," 2,046 "," 14,430,438 "," 619,925 "," 820,541 "
3704740,Vance County,"409,432",0,"355,522","1,104,164","5,245,220","5,093,054","2,404,026","31,962,905",66,"5,022,534",63,"535,654","1,671,170","1,313,404","507,500", 10 ," 760,990 ", - , 4 ," 304,396 ", 249 ," 16,951,855 ", 16 ," 1,715,904 "," 1,249,055 ", - , 239 ," 1,733,228 "," 67,748 "," 125,811 "
3704800,Wake County,"13,012,366",0,"11,304,803","39,743,013","132,633,275",0,"64,329,397","80,026,713","1,651","132,520,817","2,016","17,032,270","53,112,249","5,031,637","16,129,100", 36 ," 2,889,612 ", - , 143 ," 11,478,181 "," 7,609 "," 548,461,419 ", 192 ," 21,565,440 "," 60,537,914 ", - ," 7,235 "," 51,202,095 "," 2,205,816 "," 3,126,761 "
3704830,Warren County,"139,328",0,"121,078","95,625","2,254,144","556,637","689,863","12,177,097",24,"1,857,408",22,"186,073","568,692","908,532","172,700", 2 ," 154,784 ", - , 2 ," 154,784 ", 82 ," 6,277,463 ", 6 ," 665,208 "," 954,943 "," 1,600,000 ", 127 ," 900,303 "," 33,613 "," 34,173 "
3704880,Washington County,"94,311",0,"81,923","165,797","1,213,770","767,279","458,976","8,374,716",16,"1,157,376",15,"129,792","384,945","1,020,755","116,900", 3 ," 217,008 ", - , 2 ," 144,672 ", 57 ," 3,847,594 ", 3 ," 324,267 "," 528,932 "," 1,820,000 ", 103 ," 773,118 "," 26,103 "," 20,046 "
3704890,Watauga County,"384,019",0,"333,662","453,361","6,213,347",0,"1,835,904","2,642,130",56,"4,358,032",60,"497,342","1,567,442","942,952","476,000", - , - , - , 5 ," 389,110 ", 224 ," 16,903,251 ", 10 ," 1,047,050 "," 1,419,185 ", - , 267 ," 1,761,666 "," 76,442 "," 80,183 "
3704920,Wayne County,"1,446,769",0,"1,256,679","5,531,138","17,563,541","14,248,646","7,799,792","22,828,456",204,"15,447,288",224,"1,932,312","5,905,239","1,742,647","1,793,300", 17 ," 1,287,274 ", - , 16 ," 1,211,552 ", 860 ," 60,662,753 ", 30 ," 3,360,120 "," 5,055,284 ", - , 806 ," 5,753,228 "," 241,162 "," 329,515 "
3704950,Wilkes County,"711,404",0,"618,095","1,358,018","8,568,638","4,626,896","3,594,845","8,678,132",110,"8,569,000",110,"928,174","2,903,719","1,320,357","881,800", 1 ," 77,900 ", - , 8 ," 623,200 ", 418 ," 28,919,855 ", 21 ," 2,273,145 "," 2,893,871 ", - , 445 ," 3,226,695 "," 130,706 "," 147,193 "
3705020,Wilson County,"861,543",0,"748,703","1,991,622","7,269,181","6,942,085","4,171,364","13,100,108",133,"10,231,956",133,"1,128,112","3,516,537","1,354,787","1,067,900", 6 ," 461,592 ", - , 10 ," 769,320 ", 503 ," 34,213,224 ", 26 ," 2,798,094 "," 2,352,008 ", - , 532 ," 3,869,236 "," 157,195 "," 231,004 "
3705040,Yadkin County,"406,286",0,"352,935","1,080,085","5,252,445","2,590,818","2,033,207","5,383,761",66,"5,190,966",63,"534,977","1,658,327","1,005,046","503,600", 8 ," 629,208 ", - , 5 ," 393,255 ", 239 ," 17,261,909 ", 13 ," 1,396,382 "," 1,475,102 ", - , 276 ," 2,017,008 "," 78,912 "," 77,510 "
3705070,Yancey County,"167,081",0,"145,162","374,246","2,326,393",0,"854,983","1,392,927",28,"2,234,904",26,"217,094","681,969","857,917","207,100", 1 ," 79,818 ", - , 2 ," 159,636 ", 99 ," 7,161,706 ", 7 ," 738,850 "," 939,806 "," 1,560,000 ", 142 ," 1,048,386 "," 38,079 "," 33,219 "
,Charters,"11,454,103",0,"9,940,111","10,222,285","96,840,821","25,605,350","72,694,513","151,656,298",N/A,"122,406,032",N/A,"15,027,352","46,751,924","3,199,278","14,197,600",N/A," 3,018,270 ", - , N/A ," 10,101,307 ",N/A," 471,346,547 ",N/A," 27,279,142 "," 45,442,101 "," 4,157,306 ",N/A," 28,419,773 "," 1,686,262 ", - 
